root | <module> | 922 | INFO | 2023-04-10 18:41:15,297 |  ======BOT START======
root | market_data | 585 | INFO | 2023-04-10 18:41:15,931 |  == Market Data Actualizada ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:18,452 | BTC/USD@29273.5898
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:21,803 | BTC/USD@29270.8091047
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:41:21,811 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:41:21,811 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:41:21,811 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:41:21,811 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:41:21,811 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:41:21,811 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:41:21,811 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:41:21,811 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:41:21,811 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:41:21,811 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:24,341 | BTC/USD@29283.6275
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:27,420 | BTC/USD@29275.16468
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:41:27,424 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:41:27,424 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:41:27,424 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:41:27,424 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:41:27,425 | == RSI_ACTUAL 57.494040744258555 ==
